


Total data points : 59 
X axis - free stream velocity values
Y axis - Stagnation tempearture rise 

46.81647940074981, 29.2704987522211
364.4997324772612, 30.485865076425398
698.903156768326, 91.54203120548846
1083.4670947030504, 142.82729175444183
1401.1503477795627, 183.89388018278805
1702.1134296415198, 264.74772406664124
2103.397538790798, 365.910978894417
2421.0807918673104, 476.7172060050161
2772.2043873729276, 587.6513664129034
3173.488496522206, 748.5914543968956
3491.1717495987164, 879.3232925595694
3808.8550026752287, 1039.9435473003505
4059.6575708935266, 1200.3079354465644
4293.739967897272, 1330.7199403660252
4561.262707330125, 1491.1482951608796
4812.0652755484225, 1651.51268330709
5062.86784376672, 1821.8398769793403
5313.67041198502, 1972.2414595995178
5531.032637774211, 2112.552303396371
5748.394863563404, 2312.639980349444
6032.637774210809, 2512.9835238970863
6417.201712145534, 2823.301728122977
6734.884965222045, 3043.698816019976
7086.0085607276615, 3333.963475896513
7353.5313001605155, 3544.2058583215476
7671.214553237027, 3814.416973848729
8005.617977528091, 4134.506083654727
8289.860888175497, 4354.775238254442
8607.544141252007, 4615.023548255585
8858.346709470306, 4904.904408240267
9075.7089352595, 5204.620140453702
9359.951845906904, 5444.814906105486
9610.7544141252, 5684.881738459989
9861.5569823435, 5934.911376340526
10195.960406634566, 6284.888902724637
10430.04280363831, 6574.705796060676
10697.565543071163, 6814.83659506382
10914.927768860356, 7094.626716225182
11215.890850722311, 7374.736670629754
11416.53290529695, 7584.72318646022
11533.574103798823, 7764.501452469367
11717.49598715891, 8024.2380292813705
12001.738897806315, 8314.246822563338
12235.821294810059, 8584.138104847305
12469.903691813806, 8814.17816502713
12603.665061530231, 9013.94600873699
12770.866773675763, 9213.841785744135
12988.228999464956, 9384.041046119099
13188.871054039595, 9653.804395105783
13356.072766185129, 9853.700172112927
13506.554307116106, 10033.606371419359
13623.59550561798, 10183.496220850397
13807.517388978065, 10373.493158980149
14075.040128410916, 10693.326402191582
14292.402354200107, 11003.00493993105
14509.764579989302, 11203.092616884123
14626.805778491174, 11422.722104997414
15061.530230069557, 11952.413930742028
15462.814339218834, 12382.349767928998
